Section,Field,Value
Header,Date,10/09/2025
Header,Time,10:20:00
Header,Moon Age,Day 19
Header,Season,Autumn
Features,Governing,Water Yang governed by Metal Yang
Features,Division,Shao Yang
Features,Elements,(丙) (丁)
Features,Balance Status,Balanced and Rooted
Four Pillars - Heavenly Stems,Hour,壬 (Ren) - BL
Four Pillars - Heavenly Stems,Day,壬 (Ren) - BL
Four Pillars - Heavenly Stems,Month,甲 (Jia) - GB
Four Pillars - Heavenly Stems,Year,乙 (Yi) - LIV
Four Pillars - Earthly Branches,Hour,子 (Zi) - GB
Four Pillars - Earthly Branches,Day,午 (Wu) - HT
Four Pillars - Earthly Branches,Month,申 (Shen) - BL
Four Pillars - Earthly Branches,Year,巳 (Si) - SP
Hidden Stems,Hour,Gui 癸
Hidden Stems,Day,Ding 丁 | Ji 已
Hidden Stems,Month,Geng 庚 | Ren 壬 | Wu 戊
Hidden Stems,Year,Bing 丙 | Geng 庚 | Wu 戊
Scores,Wood,100
Scores,Fire,65
Scores,Earth,35
Scores,Metal,176
Scores,Water,80
Acupuncture,ZWLZ,KI6
Acupuncture,Auxiliary,
Acupuncture,Tonification,TH3
Acupuncture,Sedation,GB38
Acupuncture,LGBF,Ki6 (Lu7) open Yin Qiao Mai
Acupuncture,Additional Points,Co2/Lu5 Gb43/Liv8
Treatment Contraindications,Forbidden Channels,HT - L (GB - R)
Treatment Contraindications,Forbidden Regions,3 leg yin right (KI)
Relationships,SiTian-GM,Jue Yin - Metal
Relationships,G/H MOV,Fire - Metal
Relationships,G/H QI,Shao Yin - Tai Yin
Relationships,Concordances,None
Ten Gods,甲 Jia - Eating God,50
Ten Gods,乙 Yi - Hurting Officer,50
Ten Gods,丙 Bing - Indirect Wealth,30
Ten Gods,丁 Ding - Direct Wealth,35
Ten Gods,戊 Wu - Qi Sha,20
Ten Gods,已 Ji - Direct Officer,15
Ten Gods,庚 Geng - Indirect Resource,80
Ten Gods,辛 Xin - Direct Resource,0
Ten Gods,壬 Ren - Friend,96
Ten Gods,癸 Gui - Rob Wealth,80
Additional Info,Hsiu,21 Gibbon - West (Metal)
Additional Info,Planet,Mercury (Water)
